state,action,q_value
1536,0,0.0
1536,1,0.0
1536,2,0.9
1536,3,0.0
1538,0,3.367722824268239
1538,1,1.1507990532653753
1538,2,17.764805279634505
1538,3,-0.9
1537,0,-0.028701000000000032
1537,1,-0.9
1537,2,8.07654581889205
1537,3,-0.9
1544,0,-0.9
1544,1,3.6445287031816953
1544,2,-0.9
1544,3,-0.9
1540,0,2.5054699125749034
1540,1,15.13433656187689
1540,2,11.85660420488297
1540,3,3.2824377974428387
516,0,-0.9
516,1,-0.9
516,2,0.0
516,3,7.297530563476517
772,0,5.5646843548468485
772,1,6.265131997688221
772,2,7.360055835305773
772,3,6.524677222095713
776,0,-0.9
776,1,5.904241320930765
776,2,4.763528427601949
776,3,6.277986209641844
770,0,2.910731401336829
770,1,6.147661616548603
770,2,4.771128339975818
770,3,6.142730646113062
769,0,-0.03672
769,1,2.923549948748296
769,2,2.021297183092333
769,3,6.602411895085218
513,0,-0.9
513,1,-0.9
513,2,2.1700897292349
513,3,7.68474642748563
520,0,-0.9
520,1,0.8857506701844899
520,2,-0.9
520,3,0.0
514,0,0.0
514,1,0.0
514,2,0.0
514,3,7.817191963875629
258,0,0.0
258,1,0.0
258,2,-0.42866934162260506
258,3,12.175370030922407
2305,0,6.994453657258687
2305,1,2.346583064333098
2305,2,0.9520868487726634
2305,3,0.0
2312,0,1.7376246055030506
2312,1,1.6878614605341014
2312,2,4.5030510110473605
2312,3,15.240583333764908
264,0,3.4418986199158184
264,1,0.0
264,2,-0.00989100000000005
264,3,0.0
1026,0,-0.9
1026,1,28.608294934543796
1026,2,0.0
1026,3,-0.9
3074,0,-0.9
3074,1,0.9
3074,2,0.0
3074,3,0.0
2052,0,0.9
2052,1,0.0
2052,2,0.0
2052,3,0.0
2056,0,9.0
2056,1,0.0
2056,2,0.0
2056,3,0.0
1032,0,0.0
1032,1,9.963326342400194
1032,2,0.0
1032,3,0.0
1028,0,0.6945164627972467
1028,1,0.0
1028,2,0.0
1028,3,19.803078136883236
1025,0,5.370728708500142
1025,1,0.0
1025,2,0.0
1025,3,0.0
2308,0,2.1986684609309375
2308,1,0.0
2308,2,0.0
2308,3,5.8039386316678625
2337,0,1.8535392900000003
2337,1,0.0
2337,2,0.0
2337,3,0.0
2370,0,-0.9
2370,1,-90.0
2370,2,-0.9
2370,3,0.0
2306,0,-0.9
2306,1,-0.3235763040559707
2306,2,-0.9
2306,3,8.97753113875985
2328,0,2.13583579209
2328,1,0.0
2328,2,0.0
2328,3,0.0
2049,0,0.0
2049,1,0.0
2049,2,-0.9
2049,3,0.5263928999999997
2114,0,-0.9
2114,1,0.0
2114,2,0.0
2114,3,0.0
2050,0,-0.9
2050,1,0.11720060738999992
2050,2,0.0
2050,3,0.0
3073,0,6.310708115204166
3073,1,0.0
3073,2,0.0
3073,3,0.0
2340,0,0.0
2340,1,0.0
2340,2,-90.0
2340,3,0.0
836,0,-0.99
836,1,-90.0
836,2,0.0
836,3,0.0
840,0,-0.9
840,1,-90.0
840,2,-0.9
840,3,7.388018499550361
968,0,-90.0
968,1,0.0
968,2,0.0
968,3,0.0
2408,0,-0.9
2408,1,0.0
2408,2,0.0
2408,3,0.0
2376,0,0.0
2376,1,0.0
2376,2,0.0
2376,3,3.3548491654929
3080,0,5.2799481938762565
3080,1,0.9
3080,2,9.728780799075146
3080,3,2.822227816234277
3076,0,4.837975621335766
3076,1,0.0
3076,2,0.0
3076,3,0.0
1556,0,-0.9
1556,1,0.0
1556,2,0.0
1556,3,0.0
1560,0,-0.9
1560,1,13.697975657550261
1560,2,-0.9
1560,3,0.0
1688,0,-90.0
1688,1,0.0
1688,2,0.0
1688,3,0.0
3128,0,-0.9
3128,1,0.0
3128,2,0.0
3128,3,0.0
3096,0,1.3708758291200804
3096,1,0.0
3096,2,0.0
3096,3,-90.0
2369,0,0.0
2369,1,0.0
2369,2,0.9
2369,3,0.0
3092,0,7.534486389385505
3092,1,0.0
3092,2,0.0
3092,3,0.0
1048,0,-0.9
1048,1,18.648874848506612
1048,2,0.0
1048,3,0.0
257,0,4.28580929336282
257,1,0.0
257,2,8.1746998437686
257,3,11.299325619585023
532,0,0.9
532,1,0.0
532,2,0.0
532,3,0.0
536,0,-0.9
536,1,6.140186629768791
536,2,0.0
536,3,-90.0
529,0,5.1111568394005955
529,1,0.0
529,2,0.0
529,3,-90.0
833,0,-0.9
833,1,4.254073224069632
833,2,0.0
833,3,0.0
2372,0,0.9
2372,1,0.0
2372,2,0.0
2372,3,0.0
328,0,2.524395439733806
328,1,0.0
328,2,0.0
328,3,0.0
3089,0,2.7611912342224145
3089,1,0.0
3089,2,0.0
3089,3,0.0
786,0,13.21312612853234
786,1,0.0
786,2,0.0
786,3,0.0
290,0,-90.0
290,1,-0.9
290,2,-90.0
290,3,6.4048305146959565
898,0,8.929855005550188
898,1,0.0
898,2,0.0
898,3,0.0
292,0,0.7054038
292,1,0.0
292,2,0.0
292,3,0.0
289,0,5.237030999568851
289,1,0.0
289,2,0.0
289,3,0.0
