state,action,q_value
768,0,-0.7
768,1,0.0
768,2,0.0
768,3,0.0
776,0,5.578773828341683
776,1,-0.7
776,2,4.477838311729715
776,3,8.408198980120632
769,0,4.0548685167976135
769,1,4.3500971888798885
769,2,5.24155962722263
769,3,17.68626844788016
770,0,5.399201008962409
770,1,1.8446874935915618
770,2,19.345966858435723
770,3,5.775397841136232
258,0,0.0
258,1,-0.98931145528075
258,2,-0.7
258,3,21.587251025463235
2306,0,0.0
2306,1,0.0
2306,2,-0.7
2306,3,4.695738998278616
2305,0,5.526147868975247
2305,1,0.0
2305,2,0.0
2305,3,1.1655
264,0,-0.23450000000000004
264,1,-0.2825237650865001
264,2,-0.4490279319846793
264,3,15.043315276021334
257,0,6.171825193501228
257,1,18.943314908119614
257,2,4.817847466220913
257,3,11.166427198973437
3089,0,0.9099999999999999
3089,1,0.0
3089,2,0.0
3089,3,0.0
1048,0,0.0
1048,1,1.3755
1048,2,0.0
1048,3,0.0
1028,0,2.4477194303661407
1028,1,3.2634259879374996
1028,2,-0.7
1028,3,0.0
3074,0,-0.7
3074,1,2.9748516708346786
3074,2,-0.7
3074,3,0.0
3076,0,0.0
3076,1,20.268223610705263
3076,2,0.14435749999999992
3076,3,2.0280804408281554
2052,0,20.036135109308955
2052,1,-0.7
2052,2,0.0
2052,3,0.0
2308,0,8.535860699925584
2308,1,0.0
2308,2,0.0
2308,3,0.0
2312,0,4.381189365788074
2312,1,1.2131731060957451
2312,2,17.35308645083391
2312,3,4.318919225465382
772,0,1.6811566958893653
772,1,0.0
772,2,16.198956657979323
772,3,3.0377332388332245
2049,0,13.770207483611134
2049,1,-0.23450000000000004
2049,2,0.0
2049,3,-0.7
3073,0,13.161049550717701
3073,1,0.0
3073,2,0.0
3073,3,0.0
1032,0,-0.7
1032,1,0.0
1032,2,0.0
1032,3,-0.1974293619131194
1544,0,-0.9099999999999999
1544,1,10.742584252482658
1544,2,0.6768588204313994
1544,3,-0.7
516,0,-0.29763098323218784
516,1,5.0158230756167175
516,2,0.0
516,3,0.0
520,0,-0.7
520,1,8.072456567064943
520,2,0.0
520,3,0.0
513,0,-0.45143597581250017
513,1,-0.7
513,2,17.7675591978902
513,3,0.0
1537,0,-0.23450000000000004
1537,1,0.0
1537,2,2.612490033760947
1537,3,-0.7
1540,0,3.9720029692468857
1540,1,6.979212237031527
1540,2,3.083420977358311
1540,3,5.07448888912622
260,0,-0.5116648564299998
260,1,-0.7
260,2,0.0
260,3,-0.6913715176025002
324,0,-0.7
324,1,0.0
324,2,0.0
324,3,0.0
840,0,-0.7
840,1,-70.0
840,2,-0.7
840,3,5.9229409724804105
1556,0,-0.7
1556,1,7.483491059753482
1556,2,0.0
1556,3,0.0
1560,0,0.0
1560,1,11.806024895727985
1560,2,0.0
1560,3,0.0
1538,0,0.0
1538,1,6.512708335632365
1538,2,0.0
1538,3,0.0
1025,0,3.3538532625134687
1025,1,-0.7
1025,2,0.0
1025,3,-0.9099999999999999
2338,0,-70.0
2338,1,3.133988803409019
2338,2,0.0
2338,3,0.0
898,0,10.637775980758919
898,1,-0.7
898,2,0.0
898,3,0.0
900,0,-70.0
900,1,-0.7
900,2,8.457612753534194
900,3,0.0
2344,0,0.0
2344,1,0.5837804874999999
2344,2,0.0
2344,3,0.0
2340,0,9.010483907444279
2340,1,0.0
2340,2,0.0
2340,3,0.0
3080,0,0.7
3080,1,17.34894149152724
3080,2,0.0
3080,3,0.0
2056,0,19.34684899472476
2056,1,-0.23450000000000004
2056,2,0.0
2056,3,0.0
388,0,0.0
388,1,0.0
388,2,0.2566024999999999
388,3,0.0
2433,0,-69.78999999999999
2433,1,0.0
2433,2,0.0
2433,3,0.0
328,0,10.411145693890095
328,1,0.0
328,2,0.0
328,3,0.0
834,0,4.585397902408069
834,1,-70.0
834,2,0.0
834,3,0.0
1572,0,0.9136388999152149
1572,1,0.0
1572,2,0.0
1572,3,0.0
3096,0,1.77370725
3096,1,0.0
3096,2,0.0
3096,3,0.0
897,0,-70.0
897,1,0.9099999999999999
897,2,0.0
897,3,0.0
904,0,-70.0
904,1,-0.7
904,2,0.0
904,3,0.9099999999999999
641,0,-70.0
641,1,-0.7
641,2,0.0
641,3,0.0
2088,0,4.794509297506249
2088,1,0.0
2088,2,0.0
2088,3,0.0
1026,0,0.6481927375
1026,1,0.0
1026,2,0.0
1026,3,0.0
290,0,-70.0
290,1,-0.7
290,2,-70.0
290,3,0.0
292,0,8.293501662744104
292,1,0.0
292,2,0.0
292,3,0.0
514,0,22.70937309075847
514,1,0.0
514,2,0.0
514,3,5.8336307882093585
1668,0,-0.23450000000000004
1668,1,6.78405245009565
1668,2,0.0
1668,3,0.0
836,0,-0.7
836,1,-70.0
836,2,11.303481464361692
836,3,0.0
856,0,-0.7
856,1,0.0
856,2,0.0
856,3,0.0
644,0,-0.7
644,1,0.0
644,2,0.0
644,3,0.0
536,0,5.084246758220709
536,1,0.0
536,2,0.0
536,3,0.0
786,0,4.547844195974472
786,1,0.0
786,2,0.0
786,3,0.0
3108,0,5.235550422311885
3108,1,0.0
3108,2,0.0
3108,3,0.0
610,0,-70.0
610,1,0.0
610,2,0.0
610,3,0.0
1553,0,5.237488477233818
1553,1,0.0
1553,2,0.0
1553,3,0.0
1665,0,-70.0
1665,1,0.0
1665,2,0.0
1665,3,0.0
3112,0,4.57842997213897
3112,1,0.0
3112,2,0.0
3112,3,0.0
2376,0,13.126330063418438
2376,1,0.0
2376,2,0.0
2376,3,0.0
3204,0,-70.0
3204,1,0.0
3204,2,0.0
3204,3,0.0
322,0,-0.7
322,1,0.0
322,2,0.0
322,3,0.0
2370,0,-0.7
2370,1,0.0
2370,2,0.0
2370,3,0.0
