state,action,q_value
768,0,-0.7
768,1,0.0
768,2,0.0
768,3,0.0
776,0,5.816951821790073
776,1,-0.7
776,2,20.49129920107853
776,3,31.221218395319028
772,0,1.628695097546231
772,1,1.5496197367863158
772,2,18.027638495804773
772,3,15.465696067245158
769,0,13.760239530432546
769,1,28.716567516006975
769,2,23.62968142126957
769,3,14.940241602117236
513,0,-0.9099999999999999
513,1,-0.9099999999999999
513,2,31.83166488942746
513,3,0.04660249999999988
1537,0,-0.7
1537,1,0.0
1537,2,23.349694870551776
1537,3,0.0
1544,0,-0.7
1544,1,23.191110947669276
1544,2,-0.9099999999999999
1544,3,0.0
516,0,-0.7
516,1,20.792908399330926
516,2,0.0
516,3,0.0
520,0,-0.9099999999999999
520,1,-0.791455
520,2,-1.3755
520,3,14.040651590380332
770,0,12.528274974203656
770,1,9.334729604658536
770,2,12.664381736943843
770,3,29.429571114952683
1026,0,-0.23450000000000004
1026,1,32.81163154357642
1026,2,-0.7
1026,3,0.0
3074,0,-0.7
3074,1,28.493411344750125
3074,2,9.091993752594654
3074,3,12.505865323747608
2052,0,27.851916314047287
2052,1,-0.7
2052,2,0.0
2052,3,-0.09485000000000005
2056,0,14.076192522318834
2056,1,13.046607387762645
2056,2,24.88698315236378
2056,3,16.065655999628667
3080,0,16.25532752666178
3080,1,20.925202326802157
3080,2,29.538224581762247
3080,3,3.989841919021532
3076,0,25.21279067175222
3076,1,7.447219371141982
3076,2,1.8769529130452713
3076,3,6.879977090131424
2308,0,15.804498218345291
2308,1,0.0
2308,2,0.0
2308,3,0.0
264,0,-0.6561346863484547
264,1,-0.7
264,2,27.9219076620485
264,3,12.904215093152512
260,0,24.31690066819698
260,1,-0.7
260,2,0.0
260,3,-0.7
258,0,-0.7
258,1,-0.7
258,2,-0.7
258,3,26.256523299256134
2306,0,-0.7
2306,1,1.2400580868042037
2306,2,-0.7
2306,3,23.117371494290445
2312,0,25.119866491147555
2312,1,0.0
2312,2,17.168645483044696
2312,3,19.005481653252893
2305,0,15.184901271429524
2305,1,25.544544496087074
2305,2,0.5831856625
2305,3,6.287857343695939
514,0,21.568263550518132
514,1,21.312894858740847
514,2,29.88265581273557
514,3,7.279812500711622
1538,0,16.827114149774605
1538,1,20.727578939794405
1538,2,16.35935284294911
1538,3,16.196830070554363
1553,0,-0.7
1553,1,-70.0
1553,2,0.7
1553,3,0.0
1560,0,-0.7
1560,1,20.684389193262042
1560,2,-0.7
1560,3,-70.0
833,0,-0.7
833,1,3.3492968145615847
833,2,0.0
833,3,0.0
840,0,-0.7
840,1,-91.0
840,2,-0.4577087860940776
840,3,26.775705367671474
1556,0,14.002397142446023
1556,1,0.0
1556,2,0.0
1556,3,0.0
1672,0,-70.0
1672,1,7.837790753742349
1672,2,0.0
1672,3,0.0
3112,0,0.0
3112,1,0.0
3112,2,23.068208656534267
3112,3,0.0
3073,0,30.452165002414475
3073,1,0.0
3073,2,0.0
3073,3,0.0
1032,0,-0.23450000000000004
1032,1,30.489829455156833
1032,2,0.0
1032,3,2.380322872505264
1540,0,10.194351953271088
1540,1,13.889465091841053
1540,2,15.378833372414103
1540,3,8.007454401710993
257,0,24.52974785555577
257,1,0.0
257,2,9.545433651531532
257,3,0.0
2049,0,26.34685719084406
2049,1,0.0
2049,2,11.161945875167687
2049,3,0.0
1028,0,13.805635271512395
1028,1,21.460074829487393
1028,2,0.0
1028,3,31.52506813608952
792,0,6.803941197693576
792,1,0.0
792,2,0.0
792,3,0.0
834,0,1.7102400669261633
834,1,0.0
834,2,8.66448278984106
834,3,0.0
1665,0,-70.0
1665,1,-0.0018580336295486166
1665,2,31.560021421258956
1665,3,0.0
2050,0,-0.7
2050,1,19.011206589134815
2050,2,0.0
2050,3,0.0
2433,0,0.0
2433,1,0.0
2433,2,0.0
2433,3,13.65607227187431
1042,0,-0.7
1042,1,32.377081111814796
1042,2,0.0
1042,3,0.0
3090,0,-0.07345035556672463
3090,1,29.270395134913326
3090,2,0.0
3090,3,0.0
610,0,-70.0
610,1,-70.0
610,2,0.0
610,3,0.0
836,0,19.664652312565707
836,1,0.0
836,2,0.0
836,3,-70.0
578,0,25.659485915894457
578,1,0.0
578,2,0.0
578,3,0.0
3204,0,-70.0
3204,1,0.7
3204,2,0.0
3204,3,22.353367014983572
897,0,-68.18826274102983
897,1,29.70644317812024
897,2,0.0
897,3,0.0
2449,0,-70.0
2449,1,0.0
2449,2,0.0
2449,3,0.0
904,0,-70.0
904,1,-0.7
904,2,-70.0
904,3,29.38487785743824
2344,0,3.3206572440044693
2344,1,0.0
2344,2,0.0
2344,3,-0.7
900,0,-70.0
900,1,-0.7
900,2,29.86955003789332
900,3,0.0
2337,0,24.887021117858776
2337,1,0.0
2337,2,0.0
2337,3,0.0
641,0,-70.0
641,1,-0.7
641,2,29.137891157410504
641,3,0.0
2088,0,26.53417336208127
2088,1,0.0
2088,2,0.0
2088,3,0.0
1681,0,-70.0
1681,1,-0.7
1681,2,20.7355452526659
1681,3,0.0
3128,0,-0.7
3128,1,4.472568337669056
3128,2,0.0
3128,3,0.0
3096,0,25.91526994207145
3096,1,0.0
3096,2,0.0
3096,3,0.0
1048,0,20.76723170924154
1048,1,0.0
1048,2,0.0
1048,3,0.0
1160,0,-70.0
1160,1,33.241379172789706
1160,2,0.0
1160,3,0.0
1156,0,-91.0
1156,1,35.826529837144776
1156,2,0.0
1156,3,0.0
964,0,-70.0
964,1,0.0
964,2,0.0
964,3,0.0
2408,0,11.644190312503335
2408,1,0.0
2408,2,0.0
2408,3,0.0
2376,0,25.422375265004455
2376,1,-91.0
2376,2,4.7905011279479
2376,3,0.0
328,0,-0.12494660520738288
328,1,-70.0
328,2,21.46896587598591
328,3,0.0
1153,0,-70.0
1153,1,0.0
1153,2,0.0
1153,3,0.0
580,0,-0.9099999999999999
580,1,-70.0
580,2,28.43423706774023
580,3,0.0
584,0,-0.7
584,1,-70.0
584,2,-0.7
584,3,9.141013141378963
354,0,-70.0
354,1,-70.0
354,2,-70.0
354,3,0.7
962,0,2.166919757046184
962,1,0.0
962,2,0.0
962,3,0.0
1076,0,4.483627235377829
1076,1,0.0
1076,2,0.0
1076,3,0.0
290,0,-70.0
290,1,-0.7
290,2,-70.0
290,3,21.422084228473597
898,0,25.37671202404713
898,1,0.0
898,2,0.0
898,3,0.0
292,0,12.378139048906139
292,1,0.0
292,2,0.0
292,3,0.0
3106,0,-70.0
3106,1,15.481160595552572
3106,2,0.0
3106,3,0.0
1666,0,5.015045939015847
1666,1,0.0
1666,2,0.0
1666,3,0.0
529,0,-0.7
529,1,-70.0
529,2,29.98424855039036
529,3,0.0
536,0,-0.7
536,1,18.133569905099826
536,2,0.0
536,3,0.0
786,0,8.693813582203962
786,1,0.0
786,2,0.0
786,3,0.0
3089,0,2.8379228584590246
3089,1,0.0
3089,2,0.0
3089,3,0.0
3160,0,13.666824080853115
3160,1,0.0
3160,2,0.0
3160,3,0.0
1554,0,24.991390048843368
1554,1,0.0
1554,2,0.0
1554,3,0.0
1074,0,-70.0
1074,1,9.7775988914827
1074,2,0.0
1074,3,0.0
1682,0,9.034312705586155
1682,1,0.0
1682,2,0.0
1682,3,0.0
1060,0,21.942856803312306
1060,1,0.0
1060,2,0.0
1060,3,0.0
3201,0,-69.78999999999999
3201,1,-0.7
3201,2,23.584202862551333
3201,3,0.0
3144,0,30.88439532414771
3144,1,0.0
3144,2,0.0
3144,3,0.0
1668,0,-70.0
1668,1,30.326528796055683
1668,2,0.0
1668,3,0.0
644,0,-70.0
644,1,-0.7
644,2,31.295935379210604
644,3,0.0
385,0,-70.0
385,1,9.81420260516619
385,2,0.0
385,3,0.0
3108,0,19.5655709772581
3108,1,0.0
3108,2,0.0
3108,3,0.0
2084,0,14.840004295530184
2084,1,0.0
2084,2,0.0
2084,3,0.0
2200,0,-70.0
2200,1,0.0
2200,2,0.0
2200,3,0.0
2372,0,23.33945710064896
2372,1,0.0
2372,2,0.0
2372,3,0.0
968,0,-70.0
968,1,-70.0
968,2,-70.0
968,3,3.582640540650196
1684,0,-70.0
1684,1,0.0
1684,2,0.0
1684,3,0.0
2066,0,-0.7
2066,1,4.4496936226806785
2066,2,0.0
2066,3,0.0
2456,0,-70.0
2456,1,14.272013539010683
2456,2,0.0
2456,3,0.0
1041,0,4.771105008948508
1041,1,0.0
1041,2,0.0
1041,3,0.0
392,0,-70.0
392,1,-0.7
392,2,-70.0
392,3,26.7837525112807
388,0,-70.0
388,1,0.0
388,2,0.0
388,3,0.0
2328,0,20.984253696746883
2328,1,0.0
2328,2,0.0
2328,3,0.0
3268,0,-70.0
3268,1,-70.0
3268,2,4.023031880386935
3268,3,0.0
2370,0,-0.7
2370,1,-70.0
2370,2,-0.7
2370,3,18.534744721534675
3092,0,4.113323605570571
3092,1,0.0
3092,2,0.0
3092,3,0.0
1688,0,-70.0
1688,1,12.828172203198292
1688,2,0.0
1688,3,0.0
1090,0,-0.7
1090,1,-70.0
1090,2,18.968159784781445
1090,3,0.0
3138,0,21.692559892218775
3138,1,0.0
3138,2,0.0
3138,3,0.0
1058,0,-70.0
1058,1,18.110115574101208
1058,2,0.0
1058,3,0.0
2081,0,19.059107951423854
2081,1,0.0
2081,2,0.0
2081,3,0.0
2116,0,5.898765655796142
2116,1,0.0
2116,2,0.0
2116,3,0.0
2120,0,34.76012191174741
2120,1,0.0
2120,2,0.0
2120,3,0.0
1634,0,-70.0
1634,1,0.0
1634,2,0.0
1634,3,6.892898254469556
2404,0,9.364060226827112
2404,1,0.0
2404,2,0.0
2404,3,0.0
456,0,-70.0
456,1,-70.0
456,2,0.0
456,3,0.0
1172,0,-70.0
1172,1,0.0
1172,2,0.0
1172,3,0.0
2504,0,4.2030810543016575
2504,1,0.0
2504,2,0.0
2504,3,0.0
1025,0,-0.7
1025,1,-0.7
1025,2,18.17166800307804
1025,3,0.0
1608,0,-0.7
1608,1,-70.0
1608,2,14.927633450375751
1608,3,0.0
545,0,-0.9027252499999999
545,1,3.9786792074170516
545,2,0.0
545,3,0.0
868,0,7.021568942480426
868,1,0.0
868,2,0.0
868,3,0.0
1602,0,21.18104898686278
1602,1,0.0
1602,2,0.0
1602,3,0.0
2114,0,-0.7
2114,1,-70.0
2114,2,0.0
2114,3,0.0
322,0,-0.7
322,1,-70.0
322,2,8.435108656461024
322,3,0.0
2402,0,-70.0
2402,1,-70.0
2402,2,0.0
2402,3,0.0
1044,0,14.779759460422532
1044,1,0.0
1044,2,0.0
1044,3,0.0
3233,0,-70.0
3233,1,0.0
3233,2,0.0
3233,3,0.0
2340,0,17.695533144608262
2340,1,0.0
2340,2,0.0
2340,3,0.0
2244,0,-70.0
2244,1,0.0
2244,2,0.0
2244,3,0.0
530,0,33.294048517617526
530,1,0.0
530,2,0.0
530,3,0.0
289,0,22.79758524984676
289,1,0.0
289,2,0.0
289,3,0.0
2338,0,-70.0
2338,1,-0.7
2338,2,-70.0
2338,3,16.324452556771234
2177,0,-70.0
2177,1,16.74315537367586
2177,2,0.0
2177,3,0.0
1618,0,5.194135566422645
1618,1,0.0
1618,2,0.0
1618,3,0.0
2180,0,-70.0
2180,1,-0.7
2180,2,12.093799889859106
2180,3,0.0
2072,0,18.637466068107692
2072,1,0.0
2072,2,0.0
2072,3,0.0
1569,0,2.8835810546632406
1569,1,0.0
1569,2,0.0
1569,3,0.0
548,0,-1.1655
548,1,-0.36238257849890787
548,2,-70.0
548,3,2.8416906389503036
676,0,-70.0
676,1,0.0
676,2,0.0
676,3,0.0
3124,0,11.128076255721593
3124,1,0.0
3124,2,0.0
3124,3,0.0
2468,0,-70.0
2468,1,0.0
2468,2,0.0
2468,3,0.0
801,0,27.907726101030498
801,1,0.0
801,2,0.0
801,3,2.4303010355407664
3272,0,-70.0
3272,1,-70.0
3272,2,0.0
3272,3,0.0
2465,0,-70.0
2465,1,5.341003711479601
2465,2,0.0
2465,3,0.0
802,0,1.9547837511744968
802,1,0.0
802,2,0.0
802,3,0.0
3122,0,-70.0
3122,1,0.0
3122,2,0.0
3122,3,0.0
324,0,16.73928202793922
324,1,0.0
324,2,0.0
324,3,0.0
3224,0,-70.0
3224,1,21.40938944984312
3224,2,0.0
3224,3,0.0
804,0,16.9931421770661
804,1,0.0
804,2,0.0
804,3,0.0
2436,0,-70.0
2436,1,-0.7
2436,2,16.631444660657515
2436,3,0.0
708,0,-70.0
