state,action,q_value
768,0,0.0
768,1,0.0
768,2,0.0
768,3,0.7
769,0,0.2997114864171646
769,1,1.3264999999999998
769,2,6.4171753488831715
769,3,2.0328944124999997
776,0,3.0951841300419023
776,1,2.110830494474329
776,2,2.6817789163670196
776,3,8.080261884460151
770,0,9.764601802841527
770,1,6.750497971815234
770,2,2.9960338065320586
770,3,3.6674004824856663
772,0,0.4577100703767914
772,1,3.244907847557783
772,2,11.995897997610415
772,3,2.393883469649295
513,0,-0.5798562611209377
513,1,-0.7
513,2,8.38490182312406
513,3,0.0
514,0,7.377263557872742
514,1,2.308539272239382
514,2,11.100920893427446
514,3,-0.7
1537,0,-0.36855000000000004
1537,1,0.0
1537,2,7.785212325622707
1537,3,-0.7
1544,0,-0.7
1544,1,9.846453808639776
1544,2,-0.20611500000000005
1544,3,0.0
1540,0,4.650417197139591
1540,1,15.350815185054024
1540,2,6.344241605924646
1540,3,0.0
516,0,0.5187830488996235
516,1,2.523189569246412
516,2,15.651561514233215
516,3,1.8135926572894903
520,0,-0.9919
520,1,6.29944629887578
520,2,-0.9099999999999999
520,3,-0.7
1538,0,3.0512201217509025
1538,1,10.132638106087205
1538,2,2.692153123867709
1538,3,2.0774712638335346
290,0,-70.0
290,1,0.0
290,2,0.0
290,3,0.0
898,0,2.137551075900809
898,1,0.0
898,2,7.244233609099929
898,3,0.0
836,0,0.0
836,1,-70.0
836,2,0.0
836,3,0.0
1556,0,-0.7
1556,1,0.0
1556,2,0.0
1556,3,0.0
1560,0,-0.7
1560,1,4.941833319996576
1560,2,0.0
1560,3,0.0
2338,0,-70.0
2338,1,-0.7
2338,2,-70.0
2338,3,0.7
258,0,0.0
258,1,0.0
258,2,-0.7
258,3,11.749008106488004
257,0,2.4995220520222126
257,1,8.317349761985772
257,2,-0.12073250000000013
257,3,16.16633105144143
2340,0,5.151689927621191
2340,1,0.0
2340,2,0.0
2340,3,0.0
264,0,0.0
264,1,0.0
264,2,2.856053959984167
264,3,14.82599906957761
3073,0,7.3146207144163355
3073,1,0.0
3073,2,0.0
3073,3,-0.7
3080,0,3.6148102230930137
3080,1,0.7
3080,2,2.5790038243981313
3080,3,-0.2835
3076,0,4.457089302526015
3076,1,0.0
3076,2,0.0
3076,3,0.0
1032,0,8.083717671081484
1032,1,0.0
1032,2,0.0
1032,3,0.0
1026,0,-0.7
1026,1,14.656569270809047
1026,2,0.0
1026,3,0.0
3074,0,-0.7
3074,1,1.5861141624999997
3074,2,0.0
3074,3,-0.3813766819687152
1028,0,0.0
1028,1,13.416805656498
1028,2,-0.7515708602577841
1028,3,0.0
2306,0,-0.9099999999999999
2306,1,-0.7
2306,2,-0.9099999999999999
2306,3,1.6305692109289576
2308,0,11.123184009343458
2308,1,0.0
2308,2,0.0
2308,3,0.0
2328,0,0.7
2328,1,0.0
2328,2,0.0
2328,3,0.0
2312,0,6.108879045914078
2312,1,0.0
2312,2,0.0
2312,3,3.0076795570829753
322,0,-0.7
322,1,0.0
322,2,0.0
322,3,0.0
2305,0,11.638944424964535
2305,1,3.82363858027689
2305,2,0.08926749999999992
2305,3,2.319574720679572
2376,0,5.265296361847574
2376,1,0.0
2376,2,0.0
2376,3,0.0
578,0,7.6319362474287145
578,1,0.0
578,2,0.0
578,3,0.0
3089,0,0.7
3089,1,0.0
3089,2,0.0
3089,3,0.0
3160,0,0.9099999999999999
3160,1,0.0
3160,2,0.0
3160,3,0.0
3096,0,1.26616525
3096,1,0.0
3096,2,0.0
3096,3,0.0
1048,0,0.0
1048,1,0.0
1048,2,0.40353392497621865
1048,3,0.0
1668,0,-70.0
1668,1,0.0
1668,2,0.0
1668,3,0.0
1025,0,5.616820871798265
1025,1,0.0
1025,2,0.0
1025,3,0.0
3106,0,-70.0
3106,1,0.0
3106,2,0.0
3106,3,0.0
1666,0,3.3676645461001824
1666,1,0.0
1666,2,0.0
1666,3,0.0
2049,0,2.415199451885152
2049,1,0.0
2049,2,0.0
2049,3,0.0
2056,0,0.0
2056,1,7.23386963115534
2056,2,0.7
2056,3,0.0
904,0,-70.0
904,1,0.0
904,2,0.0
904,3,0.0
2344,0,0.0
2344,1,5.5874020353878855
2344,2,0.0
2344,3,0.0
1160,0,-70.0
1160,1,5.7163750781335
1160,2,0.0
1160,3,0.0
3112,0,2.7613925591753006
3112,1,0.0
3112,2,0.0
3112,3,0.0
1156,0,-70.0
1156,1,9.129149476635263
1156,2,0.0
1156,3,1.8228944124999997
900,0,-70.0
900,1,-0.7
900,2,7.452205875782467
900,3,0.0
1572,0,1.2817639037598008
1572,1,0.0
1572,2,0.0
1572,3,0.0
2120,0,4.572894536394269
2120,1,0.0
2120,2,0.0
2120,3,0.0
1634,0,-70.0
1634,1,0.0
1634,2,0.0
1634,3,0.0
2433,0,-70.0
2433,1,6.707435596106646
2433,2,0.0
2433,3,0.0
1058,0,-70.0
1058,1,0.7
1058,2,0.0
1058,3,0.0
1060,0,4.937441212582242
1060,1,0.0
1060,2,0.0
1060,3,0.0
2337,0,7.2603689024919875
2337,1,0.0
2337,2,0.0
2337,3,0.0
385,0,-70.0
385,1,0.0
385,2,0.0
385,3,0.0
392,0,-70.0
392,1,0.0
392,2,0.0
392,3,0.0
