Episode,Reward,Epsilon,Loss,Steps,Batch Size
0,0.0,0.9995,6.4780006,51,64
1,2.0,0.9990002500000001,6.891378,66,64
2,6.0,0.9985007498750001,8.192466,98,48
20,2.0,0.9895523341234285,28.5155,64,64
40,1.0,0.9797036738060285,119.797485,52,12
60,0.0,0.9699530336808939,377.143,40,64
80,1.0,0.9602994381881231,575.86005,53,12
100,0.0,0.9507419214772129,1162.5647,47,64
120,2.0,0.9412795273104247,2222.5898,49,64
140,3.0,0.9319113089671119,4381.042,68,12
160,4.0,0.9226363291490001,7663.867,74,48
180,1.0,0.9134536598864085,10705.861,52,12
200,0.0,0.9043623824454068,15370.755,36,24
220,1.0,0.8953615872358951,22181.994,57,64
240,0.0,0.8864503737205981,28886.887,40,12
260,2.0,0.8776278503249659,37983.953,69,64
280,2.0,0.8688931343479711,54036.418,52,12
300,1.0,0.8602453518737936,63693.25,54,12
320,1.0,0.8516836376843847,85289.805,49,64
340,2.0,0.8432071351729019,108644.03,60,12
360,3.0,0.8348149962580034,113325.984,57,12
380,2.0,0.8265063812989984,125387.65,50,12
400,3.0,0.8182804590118382,138267.19,76,24
416,7.0,0.8117587065668503,170869.02,70,24
420,2.0,0.8101364063859481,156545.73,55,64
427,9.0,0.8073051786371559,177547.77,88,12
440,3.0,0.8020734086018824,173561.39,59,64
460,1.0,0.7940906589498022,191174.36,47,16
480,2.0,0.7861873587487627,173368.55,62,64
500,2.0,0.7783627172668048,208037.38,59,12
520,3.0,0.7706159516418419,211320.72,70,64
540,0.0,0.7629462868033335,212713.06,34,64
560,0.0,0.7553529553947389,233107.03,31,64
580,2.0,0.7478351976967421,218063.2,53,64
600,3.0,0.7403922615512425,276468.16,63,64
620,0.0,0.7330234022860987,276966.66,32,64
640,1.0,0.7257278826406264,289235.22,46,12
652,10.0,0.7213854699197644,298404.8,108,12
660,0.0,0.7185049726918316,330905.4,32,64
680,2.0,0.7113539497813829,329718.62,49,64
700,2.0,0.7042740984433092,282116.3,61,12
720,3.0,0.697264710332416,298445.72,69,32
740,0.0,0.6903250841534151,284441.8,38,12
760,3.0,0.6834545255907595,329386.34,56,12
780,2.0,0.6766523472391763,324317.84,51,64
800,3.0,0.6699178685348912,391340.97,62,64
820,1.0,0.6632504156875374,378036.06,52,64
840,4.0,0.6566493216127431,372559.1,93,64
860,2.0,0.6501139258653886,424177.44,63,64
880,4.0,0.6436435745735278,513408.78,71,12
900,4.0,0.6372376203729679,465615.5,72,24
920,1.0,0.630895422342501,403349.3,40,64
940,3.0,0.624616345939778,399441.16,65,16
960,4.0,0.6183997629378232,373301.97,69,64
980,3.0,0.6122450513621789,408232.06,57,12
1000,2.0,0.606151595428677,515871.12,62,64
1020,3.0,0.6001187854818283,383858.47,67,48
1040,3.0,0.5941460179338273,426660.62,68,64
1060,2.0,0.5882326952041615,399518.62,57,64
1080,4.0,0.582378225659823,419213.7,87,12
1100,1.0,0.5765820235561167,417858.72,39,64
1120,3.0,0.570843508978054,360212.88,57,64
1140,2.0,0.5651621077823331,329905.66,51,32
