Episode,Reward,Epsilon,Loss,Steps,Batch Size
0,3.0,0.9995,0.09045814,68,16
9,4.0,0.9950112350131176,0.089182526,81,16
20,2.0,0.9895523341234285,0.09417714,61,128
40,1.0,0.9797036738060285,0.07133125,63,64
44,5.0,0.9777457355241367,0.08154905,78,128
48,6.0,0.9757917101828801,0.0911098,116,128
60,1.0,0.9699530336808939,0.10695014,47,128
79,7.0,0.9607798281021742,0.09659396,128,32
80,1.0,0.9602994381881231,0.115668364,52,16
100,0.0,0.9507419214772129,0.11856392,44,128
120,4.0,0.9412795273104247,0.13129708,80,128
140,1.0,0.9319113089671119,0.11600019,62,128
160,3.0,0.9226363291490001,0.12740898,72,64
180,4.0,0.9134536598864085,0.10006683,72,16
200,3.0,0.9043623824454068,0.08382069,79,64
220,1.0,0.8953615872358951,0.057528015,59,16
240,2.0,0.8864503737205981,0.07762469,55,16
260,3.0,0.8776278503249659,0.086065665,76,128
280,2.0,0.8688931343479711,0.066374265,61,16
300,5.0,0.8602453518737936,0.09795058,91,128
320,2.0,0.8516836376843847,0.069271825,61,128
340,2.0,0.8432071351729019,0.060258094,57,128
360,4.0,0.8348149962580034,0.08090974,70,128
380,1.0,0.8265063812989984,0.08344271,48,128
400,6.0,0.8182804590118382,0.054126095,100,128
420,2.0,0.8101364063859481,0.051572863,61,128
440,4.0,0.8020734086018824,0.056182187,91,32
460,1.0,0.7940906589498022,0.051235087,39,128
480,2.0,0.7861873587487627,0.05080813,63,128
492,9.0,0.7814831850918409,0.07629523,121,128
500,4.0,0.7783627172668048,0.0527981,81,64
520,1.0,0.7706159516418419,0.045938857,45,128
540,5.0,0.7629462868033335,0.057062116,85,128
560,3.0,0.7553529553947389,0.054552507,71,128
580,1.0,0.7478351976967421,0.060063146,42,128
600,1.0,0.7403922615512425,0.087257005,50,128
620,3.0,0.7330234022860987,0.07644916,58,128
640,2.0,0.7257278826406264,0.051962376,67,128
660,2.0,0.7185049726918316,0.054172333,61,128
680,1.0,0.7113539497813829,0.05659481,49,128
700,3.0,0.7042740984433092,0.054986946,65,16
720,3.0,0.697264710332416,0.048450932,65,128
740,1.0,0.6903250841534151,0.08059806,42,128
760,2.0,0.6834545255907595,0.04473897,60,64
780,2.0,0.6766523472391763,0.04625383,50,16
800,6.0,0.6699178685348912,0.0567999,86,16
820,4.0,0.6632504156875374,0.040782314,84,128
840,1.0,0.6566493216127431,0.0541298,46,16
860,2.0,0.6501139258653886,0.062302057,51,128
880,2.0,0.6436435745735278,0.062796324,53,128
900,4.0,0.6372376203729679,0.08099091,68,128
918,10.0,0.6315267912520551,0.093700476,130,64
920,1.0,0.630895422342501,0.11431855,48,128
940,1.0,0.624616345939778,0.060179334,38,128
960,4.0,0.6183997629378232,0.03946271,71,16
980,6.0,0.6122450513621789,0.053244885,94,16
1000,3.0,0.606151595428677,0.06148948,65,16
1020,2.0,0.6001187854818283,0.09361981,68,32
1040,5.0,0.5941460179338273,0.053449225,82,16
1060,2.0,0.5882326952041615,0.08002177,47,16
1080,6.0,0.582378225659823,0.055729136,103,64
1100,4.0,0.5765820235561167,0.06711452,70,128
1120,2.0,0.570843508978054,0.07432323,54,32
1140,2.0,0.5651621077823331,0.042716786,68,128
1160,3.0,0.5595372515398943,0.06429232,65,128
1180,4.0,0.55396837747905,0.0475379,77,16
1200,5.0,0.5484549284291772,0.052569132,85,128
1220,3.0,0.5429963527649727,0.04646725,62,128
1240,7.0,0.5375921043512626,0.06228513,96,128
